date,Mkt-RF,SMB,HML,CMA,RMW,XMY
1963-07-31,-0.0025738012395934264,-0.0011410842892712561,0.01066093095963865,-0.0017960445428542831,-0.006181511398389389,-0.0076873164767095265
1963-08-31,0.051112775980412674,-0.0027357678889319693,0.022448061151483324,-0.008099181348886951,-0.0009851698525459099,-0.00048594531327324914
1963-09-30,-0.014528783206101252,-5.0486355108020006e-05,0.003685935972846031,0.006059887399628743,-0.0013318944821979677,0.009434158927482169
1963-10-31,0.029988335496808387,0.027839470179935485,0.01949708372612329,-0.02551784956376237,0.015914119868079786,0.01191681028852784
1963-11-30,-0.007857599809294022,0.005811987504701771,0.008132708662407874,0.0037671660803972338,0.007468013156516158,0.004172097157619953
1963-12-31,0.020683539080010683,-0.007825380123540567,-0.007330726797077903,0.0016535764596087507,0.007389886745937487,0.0016293597487267546
1964-01-31,0.02452696589168266,0.022018588573176186,0.01650144316704797,-0.02732599584959089,0.02498585074752456,0.002584359734741023
1964-02-29,0.01503740276436909,0.02650265982229479,0.03592084036259418,-0.016757114408146395,0.03839064147208529,-0.02577086789416751
1964-03-31,0.013923710551779591,0.04561738608194447,0.050338155654573113,-0.012612529712508673,0.030062682481866488,0.006055268958689106
1964-04-30,0.0021516537326266424,-0.032522105977925465,-0.016677950783746228,0.014653922068512144,-0.028302454269900083,0.004517095176401937
1964-05-31,0.013417687754052192,0.008277651831216993,0.006925378615113375,0.0057699840892157074,0.025409607688236628,0.0047310357903972726
1964-06-30,0.014545452714265732,-0.0010623672770194784,0.001197868466252994,0.006790138536404054,-0.008863936460690464,0.00296162857149448
1964-07-31,0.01736678049913726,0.0009413377156601184,-0.002039039250092363,0.006260053523021638,-0.005541922366738986,0.0010231375193057654
1964-08-31,-0.014112541933763652,0.0020309585955786483,0.0012825095107760007,-0.01868276433643233,-0.008190015368518561,0.0035101997089376485
1964-09-30,0.02714170857384353,0.00564935681274617,-0.005854889100133556,0.021596545796540783,-0.012139209439503643,-0.005271328259233897
1964-10-31,0.005202075181559905,0.03050077510040165,-0.015703346663943962,0.01946203704835732,0.002815864676561367,0.0029089457794260337
1964-11-30,0.0010869271935956574,0.0028786272508950174,-0.012902870307637726,0.009153861673923406,0.007259893450303056,0.0005135420672607244
1964-12-31,0.0020249473288730573,0.001739145644925901,-0.011374030030326865,0.00577948985706939,0.01643045294830148,0.013695989115038552
1965-01-31,0.0339094281300745,0.02232649927021672,0.015454482342901548,0.005534605360314783,0.01445342176274027,-0.013789524125655615
1965-02-28,0.002985318168378161,0.04358403930565759,0.002856775827990973,0.02748440323146449,0.015460972948275753,0.005643739351994151
1965-03-31,-0.015349211813365437,0.016216156304992273,0.01129300508424401,-0.0038837247433381374,0.006026210551031987,-0.002727358320840209
1965-04-30,0.03244331013055876,0.016673342216738128,0.010734286814838505,-0.0270379086521023,0.0182124683350295,0.01634651317561035
1965-05-31,-0.004893798411046638,-0.0002931898153010386,-0.005592313113660711,0.005677067296696977,0.007443956311470655,-0.0065315005618811215
1965-06-30,-0.051552785878283186,-0.04378885369661222,-0.00873419907244731,-0.00654722746647496,-0.015622483604969171,-0.007191129930249619
1965-07-31,0.012699063584790985,0.014679953043524315,-0.0038590153021316217,0.0012481157329625075,-0.0041515728089951175,-0.002125934531419921
1965-08-31,0.026237158021277168,0.026070656332645832,0.0012666003440389706,-0.004620203467701528,0.003386775879190132,0.020555222707694228
1965-09-30,0.02984684536930242,0.015703171650225146,-0.01090596573487792,-0.0045550773799565005,-0.008595411805947216,0.008192064750361789
1965-10-31,0.02505189326358384,0.021047663595907585,0.0191574793622768,0.005541500828386718,0.02066371613688418,-0.010380613747701243
1965-11-30,-0.0024202929730093212,0.041289716167153635,0.009557278392735236,0.005552254322060926,0.02369626037828271,-0.003603096472986385
1965-12-31,0.008194083455419991,0.01986594249729504,0.021139015265412217,0.0015520416265342766,-0.0008660181106814428,0.006951053447886029
1966-01-31,0.003417598270626468,0.034042103553341765,0.015389916411764844,-0.003341046371413775,-0.006153941475818062,-0.014134121241761109
1966-02-28,-0.014427948883067953,0.039271339624338486,0.0020435781032896753,-0.013319658900701494,-0.01961214344446325,0.006876827641252196
1966-03-31,-0.02472453301041761,0.005413932161289055,-0.01751022565733768,0.01029545004029188,0.005391705099817408,0.0016951977584164606
1966-04-30,0.019960928975863608,0.025120718967799643,0.0052306623628240855,-0.0074100282040467985,0.0039840855029187605,0.02102684047993764
1966-05-31,-0.054682955997103766,-0.022842782654974702,-0.03351180639452148,0.0037800368465215344,-0.009508140542777307,-0.01670990513798024
1966-06-30,-0.01435852521649528,0.011311623177085792,0.01719113390804779,0.005735873197142485,0.008150334451315275,0.009917780108344869
1966-07-31,-0.015786825661395176,0.01686444153167444,-0.00161880627364975,0.016511056561720514,0.0043349330047586674,0.0007287229506130527
1966-08-31,-0.0780301977818963,-0.04139772139413872,0.023228698892351463,0.0017455382238682482,0.006657276132905066,0.0014707832259199945
1966-09-30,-0.009576561303584823,-0.00204361621852071,-0.0068906470028164074,0.019183496698325832,-0.006281156626231619,0.00023396582471731957
1966-10-31,0.04041096909105002,-0.053005603572508136,0.005311926164519976,0.016827081722110945,-0.02451200113455624,0.014714383194028284
1966-11-30,0.012909081925085669,0.041174636963243166,-0.0315154689408766,-0.0225768391795346,0.010490143578176592,-0.006914110427934217
1966-12-31,-6.677555012506685e-05,0.02520883212120476,-0.016146860131147085,-0.0038225697105676508,-0.010015867915048571,0.005543106543252178
